objectid,title,creator,filename,format,filesize,rights,physical_description,recipe_description,recipe_type,ingredients,temperature,cook_time
MJRW-01,Banana Bars,"Wells, Margie June Roth",mjrw-01_banana_bars,pdf,218 KB,Copyright 2026 Margie June Roth Wells,"This recipe for banana bars is written in blue ink on a 3x5"" notecard with notes in pencil and red ink. The entire recipe fits on the front of the card and there are notes about pricing the bars for sale on the back of the card. The card is lightly stained and the earliest year written on it is 2008.","These banana bars resemble small loaves of frosted banana bread, but with a more cookie-like consistency. The ingredients are mixed together and baked in a cookie sheet. They are then covered in a sweet frosting and cut into squares or rectangles.",bars,"oleomargarine, sugar, eggs, buttermilk, sour cream, bananas, vanilla extract, flour, salt, baking soda, powdered sugar, cream cheese",350 degrees Fahrenheit,30 min.
MJRW-02,Best-of-all-Fudge,"Wells, Margie June Roth",mjrw-02_best-of-all-fudge,pdf,219 KB,Copyright 2026 Margie June Roth Wells,"This fudge recipe is written in black ink on a 3x5"" note card with notes in pencil and blue ink. The entire recipe fits on the front of the card and there are notes about pricing the fudge for sale on the back of the card. The card is lightly stained and the earliest year written on it is 1984.","A smooth, sweet, and rich chocolate fudge recipe. It suggests nuts as a way for the baker to customize the recipe to their liking with add-in ingredients. The ingredients are boiled to the soft ball stage and then cooled until thick and cut into squares for serving and can be kept at room temperature.",fudge,"sugar, evaporated milk, oleomargarine, marshmallow cream, chocolate chips, vanilla extract, nuts",236 degrees Fahrenheit,undefined
MJRW-03,Breakfast Puffs,"Wells, Margie June Roth",mjrw-03_breakfast_puffs,pdf,193 KB,Copyright 2026 Margie June Roth Wells,"This recipe for Breakfast Puffs is written in blue ink on a 3x5"" note card with notes in pencil. The recipe is written on the front and back of the card, and there are additional notes about pricing on the back of the card. The card is minimally stained and the earliest year written on it is 1987.",This recipe for Breakfast Puffs makes yellow cupcakes with cinnamon and sugar-coated tops. Adding nutmeg into the cake mix creates a very light flavor that is complimented by the sweet cinnamon-sugar mixture.,cupcakes,"yellow cake mix, eggs, nutmeg, oleomargarine, water, oil, sugar, cinnamon, oleo",350 degrees Fahrenheit,25-30 min.
MJRW-04,Double Chocolate Nuggets,"Wells, Margie June Roth",mjrw-04_double_chocolate_nuggets,pdf,213 KB,Copyright 2026 Margie June Roth Wells,"This recipe for Double Chocolate Nuggets is written in blue ink on a 3x5"" note card with notes in pencil, blue, black, and green ink. The recipe is written on the front and back of the card, and there are additional notes about pricing on the back of the card. The card is moderately stained and the earliest year written on it is 1976.","These choclatey cookies, called ""Double Chocolate Nuggets,"" are made from cake mix giving them a softer texture. The ingredients are mixed and separated into balls before they are placed on a cookie sheet for baking.",cookies,"devil's food cake mix, oil, eggs, chocolate chips, pecans",350 degrees Fahrenheit,10-12 min.
MJRW-05,Lemon Bread,"Wells, Margie June Roth",mjrw-05_lemon_bread,pdf,227 KB,Copyright 2026 Margie June Roth Wells,"This recipe for Lemon Bread is written in black ink on a 3x5"" note card with notes in pencil, blue, and red ink. The recipe is entirely written on the front of the card with notes about pricing the bread for sale on the back. The card is moderately stained and the earliest year written on it is 1986.","A soft and light Lemon Bread recipe with a lemon glaze on top. Along with the expected ingredients this recipe also uses orange flavored jell-o to create the citrus flavor. The jell-o is mixed and cooled, then added to the rest of the ingredients and beaten to create a more smooth texture. The ingredients are baked and the glaze is poured on before cooling.",bread,"orange jell-o, water, lemon cake mix, oil, eggs, lemon extract, powdered sugar, lemon juice",325 degrees Fahrenheit,40 min.
MJRW-06,Oyster Crackers,"Wells, Margie June Roth",mjrw-06_oyster_crackers,pdf,192 KB,Copyright 2026 Margie June Roth Wells,"This recipe for seasoned Oyster Crackers is written in red ink on a 3x5"" note card with notes in pencil, black, and blue ink. The recipe is on the front and back of the card and there are pricing notes also on the back. The card is heavily stained and the earliest year written on it is 1996.","These Oyster crackers feature a savory seasoning with flavors made up of dill, garlic, and ranch dressing. The ingredients are mixed into a sauce and then used to coat either crackers or Cheerios cereal. They are then set out to dry and become more crispy.",crackers,"oyster crackers, cheerios, dill weed, garlic powder, oil, ranch salad dressing",undefined,undefined
MJRW-07,Peanut Butter Fudge,"Wells, Margie June Roth",mjrw-07_peanut_butter_fudge,pdf,214 KB,Copyright 2026 Margie June Roth Wells,"This fudge recipe is written in blue ink on a 3.5x5"" piece of paper with notes in pencil and black ink. The recipe is entriely written on the front of the card and there are notes on pricing written on the back. The card is lightly stained and the earliest year written on it is 2001.","This recipe for Peanut Butter Fudge begins with the same ingredients as many other recipes, cooked to the soft ball stage. Peanut butter is added at the same time as marshmellow cream, and its addition creates a smooth, peanut butter flavored fudge.",fudge,"sugar, milk, oleomargarine, marshmallow cream, peanut butter",236 degrees Fahrenheit,undefined
MJRW-08,Poppy Seed Bread,"Wells, Margie June Roth",mjrw-08_poppy_seed_bread,pdf,217 KB,Copyright 2026 Margie June Roth Wells,"This Poppy Seed Bread recipe is written in black ink on a 3x5"" note card with notes in pencil, blue, and black ink. The recipe is written on the front of the card and there are pricing notes written on the back. The card is minimally stained and the earliest year written on it is 2001.","This Poppy Seed Bread recipe uses either coconut cream or vanilla pudding, making the bread more moist and dense. The ingredients are all combined before stirring in poppy seeds, and then poured into loaf pans to be baked.",bread,"yellow cake mix, coconut cream pudding, vanilla pudding, oleomargarine, oil, eggs, water, poppy seeds",350 degrees Fahrenheit,40 min.
MJRW-09,Pumpkin Bread,"Wells, Margie June Roth",mjrw-09_pumpkin_bread,pdf,203 KB,Copyright 2026 Margie June Roth Wells,"This Pumpkin Bread recipe is written in black ink on a 3x5"" note card with notes in pencil, blue, and black ink. The recipe is written on the front and back of the card and there are notes on pricing the bread for sale on the back of the card. The card is lightly stained and the earliest year written on it is 1971.",The use of cinnamon and nutmeg create fall flavors in this Pumpkin Bread recipe. The dry ingredients are sifted together and then combined with the wet ingredients before they are split into loaf pans and baked.,bread,"flour, oil, baking soda, eggs, salt, water, cinnamon, pumpkin, nutmeg, sugar",350 degrees Fahrenheit,60 min.
MJRW-10,Pumpkin Nut Bars,"Wells, Margie June Roth",mjrw-10_pumpkin_nut_bars,pdf,229 KB,Copyright 2026 Margie June Roth Wells,"This recipe for Pumpkin Nut Bars is written in black ink on a 3x5"" notecard with notes in pencil, blue, red, and black ink. The recipe is written on both the front and back of the card, and the back of the card also has notes about pricing. The card is heavily stained and the earliest year written on it is 1986.",These Pumpkin Nut bars combine fall and citrus flavors with the bars and their frosting made from orange juice rather than milk as is common. All ingredients are mixed using an electric mixer and the nuts are folded in. The bars are then baked and topped with the orange juice frosting.,bars,"shortening, eggs, brown sugar, vanilla extract, flour, nuts, baking soda, baking powder, cinnamon, ginger, nutmeg, pumpkin, oleomargarine, powdered sugar, orange juice",350 degrees Fahrenheit,20-25 min.
MJRW-11,Raspberry Pull-Apart Bread,"Wells, Margie June Roth",mjrw-11_raspberry_pull-apart_bread,pdf,228 KB,Copyright 2026 Margie June Roth Wells,"This recipe for Raspberry Pull-Apart Bread is written in black ink on a 3x5"" notecard with notes in pencil and black ink. The recipe is written on the front and back of the card and there are notes about pricing the bread for sale also on the back. The card is minimally stained and the earliest date written on it is 2007.","This recipe for Raspberry Pull-Apart Bread uses frozen bread dough which allows for a quicker overall bake time. The bread is split into small chunks and laid into a pan, then sprinkled with a mixture of dry ingredients, nuts, and small chunks of oleomargarine. The baked bread is then easy to pull apart as suggested and eaten in these small bites.",bread,"frozen bread dough, raspberry jell-o, sugar, brown sugar, cinnamon, oleomargarine, nuts",300-350 degrees Fahrenheit,25-30 min.
MJRW-12,Spiced Molasses Cookies,"Wells, Margie June Roth",mjrw-12_spiced-molasses_cookies,pdf,201 KB,Copyright 2026 Margie June Roth Wells,"This recipe for Spiced Molasses Cookies is written in blue ink on a 3x5"" note card with notes in pencil, black, red, and blue ink. The recipe is entirely written on the front of the card and there are notes about pricing and a small image of the cookies on the back of the card. The card is moderately stained and the earliest date written on it is 1982.",These Spiced Molasses Cookies are similar in flavor to gingerbread and crunchy in texture. Ingredients are mixed in the given order and rolled into balls. The balls are then dipped in sugar and placed on a cookie sheet for baking.,cookies,"shortening, baking soda, sugar, salt, eggs, cinnamon, mild molasses, ginger, flour, cloves",350 degrees Fahrenheit,10-12 min.
MJRW-13,Sponge Candy,"Wells, Margie June Roth",mjrw-13_sponge_candy,pdf,268 KB,Copyright 2026 Margie June Roth Wells,"This Sponge Candy recipe is written in pencil on a 4x6"" note card with notes in pencil, blue, and black ink. The recipe is written on the front and back of the card, and there are also pricing notes on the back. The card is moderately stained and the earliest date written on it is 2001.","This recipe for Spronge Candy creates light and crunchy squares covered in chocolate. The ingredients are boiled until they reach a brittle stage, and when removed from heat the addition of baking soda mixing with the apple cider vinegar creates a reaction that bubbles up and then hardens to make an airy block that is broken into pieces and dipped in melted chocolate.",candy,"sugar, apple cider vinegar, dark corn syrup, baking soda, chocolate chips",300 degrees Fahrenheit,undefined
MJRW-14,White Coconut Fudge,"Wells, Margie June Roth",mjrw-14_white_coconut_fudge,pdf,147 KB,Copyright 2026 Margie June Roth Wells,"This fudge recipe is written in blue ink on a 3x5"" note card that has the corners cut off. There are notes written in pencil and blue ink. The recipe is written on the front of the card and the back of the card has pricing notes along with an address. The card is minimally stained and there are no dates written anywhere on the card.","This White Coconut Fudge recipe includes white chocolate rather than milk or dark chocolate for part of the fudge's vanilla flavor and lighter color. After the base ingredients are cooked to the soft ball stage, the white chocolate is added along with coconut. After being poured into a dish but before hardening, pink sprinkles are added.",fudge,"sugar, margarine, evaporated milk, marshmallows, white chocolate chips, coconut, vanilla extract, sprinkle",236 degrees Fahrenheit,undefined
MJRW-15,White Confetti Fudge,"Wells, Margie June Roth",mjrw-15_white_confetti_fudge,pdf,193 KB,Copyright 2026 Margie June Roth Wells,"This fudge recipe is written in blue ink on a 3x5"" note card with notes in pencil and blue ink. The recipe is written on the front of the card and there are notes about pricing the fudge on the back. The card is minimally stained and the earliest date written on it is 1983.","This recipe for White Confetti Fudges uses white chocolate for a lighter color. The ""confetti"" part of the name comes from the addition of chopped candied cherries that are mixed in with just before cooling, after the rest of the ingredients have been cooked to the soft ball stage. The fudge is then poured into a dish for cooling and cut into pieces for serving.",fudge,"white chocolate chips, sweetened condensed milk, salt, vanilla extract, candied cherries",undefined,undefined